entry_threshold,min_mins,label,n,wins,losses,win_rate,net_pnl,avg_pnl,avg_ep,avg_mins,stop_exits,target_exits,res_exits,worst_streak_pnl
0.7,0,e>=70% min>=  0m,1004,781,223,0.7778884462151394,-4816.582302634464,-4.7973927317076335,0.8121678286852596,8.23924302788846,99,127,778,-1000.0
0.7,2,e>=70% min>=  2m,524,376,148,0.7175572519083969,-4712.370366246365,-8.993073218027414,0.7842309160305342,14.876335877862603,98,125,301,-1000.0
0.7,5,e>=70% min>=  5m,308,217,91,0.7045454545454546,-3013.563607118721,-9.784297425710133,0.7755909090909091,23.424675324675317,75,107,126,-600.0
0.7,10,e>=70% min>= 10m,159,110,49,0.6918238993710691,-1536.3069310911146,-9.662307742711413,0.7643836477987418,38.642138364779846,44,64,51,-600.0
0.75,0,e>=75% min>=  0m,869,721,148,0.8296892980437284,-1422.0116631504936,-1.6363770577105796,0.8422341772151873,8.043153049482175,61,127,681,-700.0
0.75,2,e>=75% min>=  2m,432,338,94,0.7824074074074074,-1820.4565170607268,-4.214019715418349,0.815652777777777,15.224074074074098,60,124,248,-700.0
0.75,5,e>=75% min>=  5m,253,194,59,0.766798418972332,-1357.6353741104804,-5.366147723756839,0.8083083003952557,24.010276679841883,48,103,102,-500.0
0.75,10,e>=75% min>= 10m,127,96,31,0.7559055118110236,-668.6451498493052,-5.264922439758308,0.7985590551181101,40.91102362204724,28,61,38,-500.0
0.8,0,e>=80% min>=  0m,700,621,79,0.8871428571428571,444.0591822663375,0.634370260380482,0.8813950000000003,7.7912857142857135,19,124,557,-700.0
0.8,2,e>=80% min>=  2m,320,277,43,0.865625,208.2497194686672,0.6507803733395849,0.8593343750000008,15.948437500000008,19,118,183,-700.0
0.8,5,e>=80% min>=  5m,178,156,22,0.8764044943820225,462.9312133418551,2.6007371536059276,0.8541404494382024,26.311797752808978,15,94,69,-300.0
0.8,10,e>=80% min>= 10m,84,73,11,0.8690476190476191,319.26982723118124,3.8008312765616816,0.839488095238095,48.10595238095238,10,51,23,-400.0
0.85,0,e>=85% min>=  0m,575,530,45,0.9217391304347826,341.1521907038486,0.5933081577458237,0.9161765217391304,7.657043478260865,7,122,446,-400.0
0.85,2,e>=85% min>=  2m,236,218,18,0.923728813559322,591.1885456228863,2.5050362102664674,0.9011101694915254,17.377118644067792,7,114,115,-300.0
0.85,5,e>=85% min>=  5m,138,128,10,0.927536231884058,536.4232761145461,3.887125189235841,0.8929130434782605,27.570289855072442,6,87,45,-200.0
0.85,10,e>=85% min>= 10m,62,56,6,0.9032258064516129,155.55823310349936,2.5090037597338606,0.8818870967741934,52.970967741935475,5,44,13,-200.0
0.9,0,e>=90% min>=  0m,460,440,20,0.9565217391304348,601.483176431092,1.307572122676287,0.944829347826087,7.0802173913043465,4,118,338,-300.0
0.9,2,e>=90% min>=  2m,179,173,6,0.9664804469273743,615.119443237808,3.4364214706022795,0.9352346368715083,16.87541899441341,4,103,72,-200.0
0.9,5,e>=90% min>=  5m,100,98,2,0.98,565.8492705231184,5.658492705231184,0.9288200000000002,27.768999999999984,2,75,23,-100.0
0.9,10,e>=90% min>= 10m,50,48,2,0.96,214.0600405461594,4.281200810923188,0.9228399999999997,48.90600000000001,2,40,8,-100.0
